inspection_id,asset_id,office_id,inspection_type,status,scheduled_date,completed_date,appraised_value,inspector_notes,condition_rating
INSP79131522,AST55654291,OFF88332082,Follow-up,Pending,2023-11-19,2024-07-22,234126.9,OK,Fair
INSP47263380,AST31630891,OFF31309805,Annual,Closed,2025-05-28,2023-04-06,31190.35,OK,Poor
INSP65256988,AST41340908,OFF75737032,Annual,Active,2022-08-13,2018-10-08,210101.11,OK,Excellent
INSP58471578,AST49590510,OFF45415812,Annual,Active,2018-03-04,2021-11-15,43734.83,OK,Poor
INSP16866142,AST92411763,OFF50560655,Annual,Active,2018-08-09,2022-09-09,81280.03,OK,Fair
INSP05293484,AST72764105,OFF62135019,Follow-up,Active,2022-12-29,2018-12-14,199780.17,OK,Poor
INSP37122981,AST93047089,OFF96792247,Follow-up,Cancelled,2025-01-18,2021-09-25,233291.43,OK,Poor
INSP82403205,AST91131805,OFF18178360,Annual,Active,2023-04-30,2023-08-14,221086.43,OK,Fair
INSP43063238,AST09673835,OFF36130732,Follow-up,Closed,2021-02-15,2018-07-10,49996.72,OK,Good
INSP57317104,AST09442409,OFF58401288,Initial,Active,2025-04-03,2021-03-12,156759.26,OK,Fair
INSP54627985,AST34852560,OFF48335849,Initial,Pending,2023-05-18,2020-05-30,216450.69,OK,Poor
INSP58792070,AST53619739,OFF17426549,Annual,Cancelled,2024-06-20,2019-05-25,7288.59,OK,Excellent
INSP58668553,AST89169131,OFF22144242,Follow-up,Pending,2018-06-21,2018-02-19,228289.49,OK,Poor
INSP74607924,AST80143695,OFF24084023,Follow-up,Pending,2019-07-19,2018-08-20,80115.08,OK,Good
INSP86950037,AST48182348,OFF66661150,Follow-up,Pending,2025-12-25,2024-03-03,132567.39,OK,Poor
INSP27745877,AST47621896,OFF47836516,Annual,Closed,2022-09-05,2021-11-11,153295.97,OK,Good
INSP25521378,AST90447788,OFF73996232,Initial,Cancelled,2019-04-30,2025-04-27,191422.52,OK,Poor
INSP15302920,AST09278175,OFF34812740,Initial,Pending,2019-05-13,2022-11-29,38328.8,OK,Poor
INSP41134082,AST27449121,OFF16434468,Initial,Pending,2021-09-19,2021-12-28,142963.21,OK,Good
INSP62421999,AST49696768,OFF55518806,Initial,Active,2025-01-01,2020-08-01,64066.12,OK,Good
INSP98327498,AST10548109,OFF90813500,Annual,Cancelled,2019-09-08,2021-12-30,79657.78,OK,Good
INSP68061747,AST43181681,OFF22477766,Follow-up,Pending,2019-05-18,2020-07-21,179029.94,OK,Excellent
INSP55844496,AST95430107,OFF73657889,Follow-up,Closed,2020-12-05,2023-08-21,243959.23,OK,Poor
INSP71153509,AST50068571,OFF78659331,Follow-up,Pending,2019-07-19,2022-10-11,61064.28,OK,Excellent
INSP28907200,AST61902861,OFF79972985,Initial,Cancelled,2023-11-15,2022-05-12,125511.58,OK,Poor
INSP23038818,AST78238419,OFF52487277,Follow-up,Pending,2024-06-26,2020-01-14,168874.91,OK,Fair
INSP90050756,AST52531349,OFF25915137,Follow-up,Active,2024-09-14,2019-03-24,181536.6,OK,Fair
INSP98696894,AST54922682,OFF98397892,Annual,Cancelled,2022-03-06,2019-04-29,73221.71,OK,Excellent
INSP32101830,AST86840960,OFF20583587,Annual,Pending,2020-02-15,2022-09-09,185706.93,OK,Fair
INSP89558567,AST31806651,OFF79555403,Annual,Closed,2024-01-19,2023-09-30,131008.02,OK,Fair
INSP02274590,AST35041525,OFF67409151,Initial,Closed,2023-02-06,2024-04-14,80238.46,OK,Good
INSP75804886,AST41350622,OFF67615503,Annual,Pending,2020-03-06,2023-12-26,172097.73,OK,Good
INSP02867855,AST33326707,OFF11807144,Annual,Pending,2025-12-09,2019-09-09,26275.49,OK,Fair
INSP73639266,AST35039751,OFF36562459,Follow-up,Active,2025-11-20,2022-10-18,54094.41,OK,Excellent
INSP93107276,AST95642608,OFF17460292,Initial,Cancelled,2025-01-16,2020-08-30,246365.71,OK,Good
INSP29516754,AST08641877,OFF65950208,Annual,Pending,2023-09-07,2020-01-26,62858.12,OK,Fair
INSP87523359,AST89777709,OFF41686878,Annual,Closed,2019-08-24,2022-05-03,137376.01,OK,Excellent
INSP46367815,AST96982222,OFF45474346,Follow-up,Closed,2022-07-25,2018-11-18,151030.35,OK,Excellent
INSP81960696,AST18350874,OFF04020124,Annual,Cancelled,2022-05-25,2022-10-12,210609.19,OK,Excellent
INSP90947149,AST89741851,OFF54514534,Annual,Closed,2024-08-16,2019-07-16,152365.41,OK,Good
INSP17548514,AST62956600,OFF24039500,Follow-up,Pending,2023-10-14,2020-06-29,76210.69,OK,Good
INSP79355115,AST85584515,OFF09751606,Follow-up,Active,2018-03-09,2024-11-26,6068.95,OK,Excellent
INSP09783921,AST27620784,OFF70834988,Annual,Active,2024-02-11,2023-08-01,177281.56,OK,Poor
INSP30574878,AST34724356,OFF73657623,Initial,Pending,2022-06-02,2020-05-18,64316.06,OK,Excellent
