claim_event_id,event_number,claim_id,adjuster_id,event_type,description,status,created_at,completed_at,notes,cost_usd
EV71669752,E56812343,CLM48968573,ADJ54352627,Update,Workflow step,Cancelled,2025-02-03,2025-05-18,Notes,3132.8
EV44610480,E26571232,CLM87632968,ADJ36693785,Inspection,Workflow step,Cancelled,2021-04-06,2025-04-08,Notes,423.95
EV08315012,E61835259,CLM34141152,ADJ52922200,Inspection,Workflow step,Pending,2025-07-25,2022-06-04,Notes,3734.74
EV73988915,E06208799,CLM55402148,ADJ72171896,Update,Workflow step,Pending,2019-02-13,2023-11-28,Notes,2937.49
EV85273559,E79160568,CLM60509487,ADJ83189423,Approval,Workflow step,Cancelled,2020-06-11,2023-03-02,Notes,4031.63
EV74623799,E25520389,CLM35629415,ADJ12278187,Inspection,Workflow step,Active,2024-10-03,2023-08-29,Notes,2197.68
EV15320375,E64997023,CLM83155702,ADJ42515028,Approval,Workflow step,Active,2022-10-10,2019-08-04,Notes,4553.52
EV10186223,E13704288,CLM99345647,ADJ45718993,Approval,Workflow step,Cancelled,2024-04-22,2020-03-29,Notes,4260.89
EV14483075,E44611332,CLM19320423,ADJ74492085,Approval,Workflow step,Pending,2020-08-31,2024-02-25,Notes,884.87
EV87537455,E12064910,CLM95366431,ADJ48169800,Update,Workflow step,Pending,2024-10-18,2020-03-12,Notes,615.54
EV71549648,E60645942,CLM73678695,ADJ52770904,Update,Workflow step,Active,2021-05-18,2021-07-04,Notes,1321.7
EV58129729,E66759693,CLM95424902,ADJ94398064,Approval,Workflow step,Pending,2018-10-04,2021-10-02,Notes,3807.39
EV98116617,E32605135,CLM50809256,ADJ23256503,Update,Workflow step,Cancelled,2023-11-29,2022-11-07,Notes,1348.86
EV70554680,E28464469,CLM05320502,ADJ93438003,Approval,Workflow step,Active,2022-07-19,2020-02-07,Notes,550.82
EV10207892,E08100253,CLM62409673,ADJ20381352,Update,Workflow step,Closed,2018-01-10,2021-10-09,Notes,937.67
EV31229095,E29524000,CLM74172168,ADJ04874316,Update,Workflow step,Pending,2025-07-08,2023-06-11,Notes,4044.52
EV72386077,E41127745,CLM98356958,ADJ84133561,Approval,Workflow step,Active,2020-04-02,2025-12-26,Notes,3616.94
EV82330975,E97699372,CLM80743729,ADJ50697963,Inspection,Workflow step,Active,2020-01-31,2023-08-20,Notes,977.49
EV26853745,E89599651,CLM41626397,ADJ38125022,Approval,Workflow step,Active,2019-11-06,2019-04-16,Notes,363.68
EV62662131,E48331845,CLM97956761,ADJ72697755,Update,Workflow step,Pending,2021-10-22,2020-10-19,Notes,4054.71
EV52696291,E87221394,CLM58135770,ADJ65448152,Inspection,Workflow step,Cancelled,2018-04-22,2023-04-03,Notes,3936.3
EV43801933,E32736998,CLM13471789,ADJ05773726,Update,Workflow step,Closed,2021-06-03,2018-08-15,Notes,936.68
EV07095844,E47513005,CLM74197062,ADJ59368692,Approval,Workflow step,Closed,2019-01-21,2022-07-14,Notes,977.55
EV01624705,E72172197,CLM42060002,ADJ19619867,Update,Workflow step,Pending,2025-01-07,2021-10-24,Notes,420.51
EV84165691,E12501427,CLM90632944,ADJ33451913,Inspection,Workflow step,Closed,2022-12-15,2018-12-15,Notes,2543.47
EV37925211,E36270966,CLM22902404,ADJ45471636,Inspection,Workflow step,Pending,2020-05-24,2021-07-23,Notes,3167.51
EV35837918,E00666992,CLM60160911,ADJ23371525,Approval,Workflow step,Pending,2020-09-07,2025-06-10,Notes,3925.84
EV31645860,E44669715,CLM04890806,ADJ88378221,Inspection,Workflow step,Cancelled,2018-09-10,2021-07-28,Notes,2299.83
EV75139984,E86768357,CLM47019185,ADJ80489109,Approval,Workflow step,Active,2025-08-01,2021-01-10,Notes,4547.68
EV08899348,E56600014,CLM31577244,ADJ34169898,Approval,Workflow step,Closed,2018-12-07,2018-04-18,Notes,3031.88
EV10330105,E33919651,CLM47616696,ADJ60419811,Approval,Workflow step,Closed,2018-08-24,2025-10-13,Notes,2141.9
EV45532647,E17975935,CLM48100815,ADJ23706434,Update,Workflow step,Closed,2018-06-30,2022-05-01,Notes,4739.26
EV59405680,E21723065,CLM20715924,ADJ09424600,Update,Workflow step,Active,2024-10-23,2021-10-30,Notes,1993.6
EV38984551,E18539818,CLM71714236,ADJ98729595,Inspection,Workflow step,Cancelled,2018-03-08,2019-02-14,Notes,2575.87
EV84380366,E93526645,CLM08219975,ADJ85130520,Update,Workflow step,Cancelled,2019-12-30,2022-03-14,Notes,4040.46
EV62266825,E99405353,CLM80427680,ADJ55148043,Inspection,Workflow step,Active,2023-04-20,2022-09-15,Notes,3953.91
EV67699511,E81601206,CLM54748946,ADJ81687434,Approval,Workflow step,Active,2018-11-07,2022-01-10,Notes,746.73
EV27761048,E91070469,CLM05567257,ADJ42713901,Inspection,Workflow step,Cancelled,2025-09-15,2021-06-06,Notes,875.4
EV22574728,E80511142,CLM06776231,ADJ27142464,Update,Workflow step,Cancelled,2020-09-01,2018-06-01,Notes,721.85
EV53743793,E18259601,CLM93501877,ADJ80483238,Update,Workflow step,Cancelled,2020-12-11,2024-06-06,Notes,3899.08
EV99646753,E07435803,CLM62041891,ADJ27762347,Approval,Workflow step,Pending,2018-06-21,2018-06-08,Notes,1870.43
EV47478166,E63363964,CLM40709849,ADJ25819970,Approval,Workflow step,Closed,2024-03-16,2020-10-27,Notes,3084.78
EV12832111,E69847646,CLM89698481,ADJ63386782,Approval,Workflow step,Closed,2023-08-04,2018-01-31,Notes,260.36
EV26788098,E39833252,CLM25287976,ADJ43175469,Approval,Workflow step,Pending,2024-04-18,2023-09-12,Notes,1887.69
EV40863961,E79895550,CLM75575323,ADJ36764209,Update,Workflow step,Pending,2023-01-08,2024-08-11,Notes,2211.96
EV35420165,E15836364,CLM53396044,ADJ48002217,Inspection,Workflow step,Cancelled,2025-11-01,2023-05-12,Notes,3938.33
EV50000924,E95604546,CLM58467512,ADJ36124704,Update,Workflow step,Closed,2023-03-06,2023-02-09,Notes,3874.56
EV70063710,E94210069,CLM92959378,ADJ70021576,Inspection,Workflow step,Cancelled,2021-08-26,2021-08-25,Notes,4697.07
EV65997178,E01361737,CLM13083158,ADJ96424328,Update,Workflow step,Active,2025-12-07,2023-03-31,Notes,908.81
EV29176460,E89348047,CLM42362817,ADJ00098171,Inspection,Workflow step,Pending,2025-05-29,2024-01-18,Notes,4416.17
EV82513681,E21867731,CLM61328003,ADJ88349279,Inspection,Workflow step,Closed,2018-01-13,2023-06-28,Notes,872.78
EV80668228,E05955466,CLM83625046,ADJ32221744,Approval,Workflow step,Active,2018-08-24,2020-05-05,Notes,159.56
EV62165568,E72082424,CLM30160625,ADJ17558733,Update,Workflow step,Cancelled,2022-10-23,2025-10-09,Notes,834.11
EV01528416,E25305403,CLM83024989,ADJ54485905,Approval,Workflow step,Closed,2018-04-29,2024-12-30,Notes,4215.51
EV68701432,E60970651,CLM54812404,ADJ64288211,Update,Workflow step,Closed,2022-09-14,2019-06-25,Notes,2710.59
EV02669221,E36600974,CLM55413591,ADJ29040798,Inspection,Workflow step,Closed,2022-06-02,2024-08-29,Notes,1004.32
EV97827999,E72402047,CLM09090339,ADJ15945054,Inspection,Workflow step,Cancelled,2025-07-25,2021-06-07,Notes,4309.54
EV78778786,E25959731,CLM73984340,ADJ19519254,Inspection,Workflow step,Cancelled,2023-06-17,2018-03-03,Notes,4474.46
EV94150366,E07971341,CLM47553246,ADJ59303062,Inspection,Workflow step,Pending,2018-04-19,2025-11-24,Notes,3010.21
EV67479444,E39233400,CLM00921067,ADJ44537146,Update,Workflow step,Closed,2021-06-07,2022-05-18,Notes,2490.7
EV52793919,E26239040,CLM08277832,ADJ15235192,Inspection,Workflow step,Cancelled,2023-02-28,2022-07-24,Notes,3491.43
EV28429434,E33950032,CLM46977363,ADJ72682023,Approval,Workflow step,Closed,2021-11-01,2020-03-27,Notes,4536.71
EV36780211,E23698075,CLM23768508,ADJ43659076,Inspection,Workflow step,Closed,2025-04-05,2020-12-13,Notes,732.96
EV76186924,E39721773,CLM97799319,ADJ29051963,Update,Workflow step,Active,2019-12-25,2021-02-10,Notes,2375.39
EV96730502,E46457386,CLM54841385,ADJ27932139,Approval,Workflow step,Closed,2025-10-07,2025-12-30,Notes,1998.32
EV77537801,E66528952,CLM19852633,ADJ35038095,Approval,Workflow step,Closed,2020-07-13,2023-12-25,Notes,1434.0
EV19308457,E57781672,CLM99441794,ADJ64665808,Approval,Workflow step,Closed,2019-08-16,2024-06-08,Notes,4575.43
EV82111735,E10556144,CLM55768048,ADJ80616535,Inspection,Workflow step,Pending,2021-05-02,2019-09-21,Notes,2690.27
EV35113965,E89358736,CLM03543714,ADJ68145996,Approval,Workflow step,Pending,2024-05-31,2022-08-10,Notes,784.6
