claim_id,claim_number,policy_id,policyholder_id,asset_id,adjuster_id,office_id,claim_type,description,incident_date,filed_date,status,estimated_loss,approved_amount,priority,incident_latitude,incident_longitude
CLM70850523,C58452094,POL90621631,PH17440631,AST78677699,ADJ32344886,OFF48636695,Liability,Claim event,2025-07-18,2024-10-19,Cancelled,9521.47,70158.24,Medium,38.70034,-103.162567
CLM52212153,C10746219,POL60757247,PH18443582,AST75928199,ADJ68469107,OFF52437478,Fire,Claim event,2023-03-08,2022-08-30,Cancelled,197784.42,29268.4,Low,42.364589,-70.957791
CLM48867930,C84219308,POL76670796,PH23021713,AST49561640,ADJ80869025,OFF89957506,Collision,Claim event,2018-04-08,2020-01-14,Closed,99115.43,132724.75,Low,27.931238,-114.263551
CLM13127114,C39247743,POL99085612,PH26624900,AST39033174,ADJ02485885,OFF31381131,Flood,Claim event,2021-11-12,2022-05-14,Closed,47434.8,30532.52,Medium,35.395973,-107.708532
CLM35132472,C75922160,POL99276524,PH48871170,AST67381563,ADJ47058992,OFF07154199,Liability,Claim event,2019-12-19,2020-09-22,Cancelled,160756.31,64179.69,High,43.64689,-68.468458
CLM12410039,C92326566,POL30199245,PH57639491,AST51929521,ADJ71492811,OFF56290927,Theft,Claim event,2024-07-28,2023-07-20,Closed,99977.38,54633.78,Medium,28.365241,-71.893571
CLM81782588,C61625177,POL57999691,PH08374997,AST86852964,ADJ80505079,OFF31130629,Flood,Claim event,2018-06-24,2024-02-15,Pending,134436.21,127269.27,High,45.216338,-122.294904
CLM71277080,C85945309,POL39634764,PH16158037,AST19989056,ADJ56737906,OFF67741095,Fire,Claim event,2022-11-08,2023-05-26,Closed,155212.92,22452.7,High,44.661965,-115.615387
CLM00711832,C91226371,POL56182491,PH24455500,AST09787177,ADJ58153148,OFF72831874,Theft,Claim event,2020-05-23,2023-05-30,Active,178794.52,124518.09,Low,36.213312,-72.640784
CLM75277083,C09462063,POL84271732,PH25889449,AST08427006,ADJ87586292,OFF00864831,Theft,Claim event,2025-07-27,2025-08-16,Pending,155577.74,124970.74,Medium,40.295148,-113.976916
CLM68881361,C68675548,POL52653787,PH36628603,AST70660461,ADJ21081074,OFF54551375,Flood,Claim event,2023-05-15,2018-08-23,Cancelled,103758.12,111822.71,Low,37.087002,-102.453989
CLM05896385,C14187329,POL75427108,PH97733906,AST71820542,ADJ33022710,OFF14769907,Collision,Claim event,2019-05-16,2019-08-04,Closed,54573.71,138622.53,High,35.931812,-105.478614
CLM08102033,C31441210,POL65329168,PH67871854,AST29073504,ADJ34416462,OFF78730875,Liability,Claim event,2023-10-13,2021-01-18,Closed,12197.26,74624.68,Low,33.072704,-89.361211
CLM99780989,C19703612,POL84017226,PH41400161,AST30485570,ADJ67796250,OFF79190293,Liability,Claim event,2019-04-24,2018-07-25,Active,192251.36,43414.22,Low,37.32656,-119.485816
CLM99202010,C01852238,POL15237551,PH16626901,AST26572226,ADJ47197408,OFF10300596,Theft,Claim event,2025-03-26,2022-11-25,Pending,94087.68,37283.56,Medium,32.86459,-85.078308
CLM53689010,C78851021,POL76285175,PH17816181,AST09511330,ADJ21559291,OFF67782314,Liability,Claim event,2022-12-27,2021-01-20,Pending,147487.7,141920.49,Medium,26.654272,-121.409382
CLM97533075,C42310742,POL31423778,PH17816181,AST08300676,ADJ30628336,OFF60524043,Liability,Claim event,2022-04-27,2024-03-27,Cancelled,170840.69,97140.27,Low,44.965932,-73.549422
CLM94499398,C98320063,POL70290367,PH41281812,AST81037977,ADJ53681262,OFF81953825,Liability,Claim event,2021-10-21,2019-08-13,Closed,167789.88,41394.87,Low,42.225913,-77.406407
CLM07720649,C71351702,POL88514704,PH28943829,AST04632903,ADJ60022451,OFF85028345,Flood,Claim event,2024-06-16,2018-09-24,Cancelled,2216.06,94981.46,High,46.677782,-100.675206
CLM18943026,C14162158,POL68236553,PH00693833,AST29043369,ADJ83377861,OFF66874780,Fire,Claim event,2021-08-31,2019-09-02,Active,35659.2,34309.35,Medium,32.752185,-122.982183
CLM04825515,C40941842,POL77846037,PH58879782,AST28438606,ADJ74886984,OFF30477068,Liability,Claim event,2020-11-21,2018-08-15,Closed,46115.54,53415.6,Medium,28.156629,-80.813301
