asset_id,asset_number,asset_type,asset_description,make,model,year,vin,address,city,state,estimated_value,condition,last_inspection_date
AST90211908,AN39423338,Property,Insured asset,N/A,ModelX,2010,VIN85889243,852 Pine St,Austin,MA,49215.03,Excellent,2019-10-03
AST68070030,AN17558517,Property,Insured asset,Ford,ModelX,2009,VIN48235119,990 Pine St,Miami,IL,247775.27,Excellent,2025-04-15
AST71277719,AN26197691,Property,Insured asset,Honda,Sedan,2004,VIN53872362,939 Pine St,Dallas,FL,201939.86,Excellent,2020-05-19
AST85421362,AN38866283,Property,Insured asset,N/A,Truck,2016,VIN39096298,187 Pine St,San Jose,WA,39161.02,Fair,2018-06-26
AST31021417,AN27286566,Vehicle,Insured asset,N/A,Truck,2004,VIN85422087,605 Pine St,Chicago,NY,50878.75,Poor,2022-10-10
AST86079424,AN30778437,Vehicle,Insured asset,Honda,ModelX,2013,VIN75414767,202 Pine St,Miami,FL,153969.23,Poor,2022-04-09
AST41697189,AN02306830,Equipment,Insured asset,Honda,ModelY,2007,VIN73218803,709 Pine St,Chicago,CA,8863.88,Fair,2023-12-01
AST92543225,AN56511875,Equipment,Insured asset,N/A,Truck,2023,VIN32751544,944 Pine St,Austin,MA,140449.45,Fair,2018-10-31
AST02217404,AN99349088,Vehicle,Insured asset,Honda,Truck,1995,VIN18657219,300 Pine St,Chicago,TX,23697.13,Excellent,2019-03-19
AST56891889,AN93090507,Vehicle,Insured asset,Toyota,Sedan,2008,VIN03042196,949 Pine St,Dallas,IL,206792.58,Good,2018-11-12
AST21718955,AN66241907,Property,Insured asset,Ford,Truck,1996,VIN99124439,236 Pine St,Miami,CA,234336.78,Good,2022-02-05
AST14566303,AN14177428,Vehicle,Insured asset,Honda,ModelY,2018,VIN74618595,889 Pine St,Miami,IL,109782.06,Poor,2022-04-16
AST99806371,AN26330611,Equipment,Insured asset,Ford,ModelX,1998,VIN38261347,314 Pine St,Miami,CA,231745.7,Excellent,2023-12-17
AST62448524,AN49386689,Vehicle,Insured asset,Toyota,ModelX,2010,VIN17558106,629 Pine St,Boston,TX,152088.51,Poor,2024-03-31
AST35024015,AN46948046,Equipment,Insured asset,N/A,Sedan,2006,VIN07759458,315 Pine St,San Jose,CA,78931.38,Excellent,2020-08-20
AST46434184,AN96657049,Vehicle,Insured asset,Toyota,ModelX,2018,VIN24936338,607 Pine St,Miami,MA,209851.12,Excellent,2022-09-04
AST72215457,AN36038380,Equipment,Insured asset,Ford,ModelY,2003,VIN96641587,748 Pine St,Miami,NY,79379.97,Poor,2025-12-28
AST31831712,AN55642946,Property,Insured asset,Honda,ModelX,2012,VIN53782784,950 Pine St,Dallas,CA,41180.63,Poor,2019-01-06
AST63285651,AN78264417,Equipment,Insured asset,Ford,Sedan,2019,VIN59084658,365 Pine St,Miami,CA,234865.4,Poor,2020-12-04
AST42681088,AN40216046,Property,Insured asset,Toyota,Truck,2000,VIN10465144,719 Pine St,Dallas,MA,62939.64,Good,2018-10-17
AST46319393,AN17556120,Vehicle,Insured asset,Honda,ModelY,2014,VIN03412909,305 Pine St,San Jose,WA,245596.66,Excellent,2018-12-11
AST54132101,AN84579294,Property,Insured asset,Ford,ModelX,2006,VIN63656847,245 Pine St,Miami,CA,131340.57,Fair,2020-11-05
AST67907211,AN29275681,Equipment,Insured asset,Honda,ModelX,2007,VIN89460787,542 Pine St,Austin,TX,237796.29,Excellent,2023-10-10
AST60564745,AN75160969,Equipment,Insured asset,Toyota,Truck,2009,VIN97382847,849 Pine St,San Jose,WA,110608.71,Good,2023-02-28
