office_id,name,office_type,address,city,state,zip_code,latitude,longitude,timezone,phone,adjuster_capacity,has_siu_unit
OFF57542559,Office 0,Regional,332 Main St,Miami,MA,78006,31.30945,-107.360068,PST,555-5362,136,False
OFF45068269,Office 1,Branch,291 Main St,Austin,TX,79801,43.479348,-96.696382,CST,555-4099,119,True
OFF58127609,Office 2,Regional,777 Main St,Seattle,FL,76493,32.517844,-97.885475,CST,555-6840,131,True
OFF14056782,Office 3,Branch,563 Main St,Miami,WA,75512,27.260537,-97.767333,EST,555-8580,68,False
OFF51491647,Office 4,Branch,413 Main St,San Jose,FL,76930,25.081903,-102.472812,PST,555-8187,31,False
OFF43940400,Office 5,Regional,271 Main St,Chicago,CA,76396,43.879121,-78.443731,EST,555-3760,61,False
OFF46099521,Office 6,HQ,438 Main St,Miami,NY,78019,26.751316,-72.046932,CST,555-2000,60,True
OFF11039742,Office 7,Regional,913 Main St,Chicago,FL,77804,41.825247,-83.22422,PST,555-9102,121,False
OFF96165689,Office 8,HQ,904 Main St,Seattle,MA,76868,37.612417,-99.14028,CST,555-8612,128,True
OFF98301905,Office 9,Branch,104 Main St,Seattle,IL,78422,42.446911,-79.887987,PST,555-4412,39,True
OFF51102549,Office 10,Regional,950 Main St,Chicago,IL,79191,31.120344,-103.158549,PST,555-4566,19,False
OFF74659345,Office 11,Regional,479 Main St,Miami,CA,78418,40.863622,-71.972482,EST,555-2899,56,True
OFF09917517,Office 12,HQ,798 Main St,Chicago,IL,75553,47.856734,-115.810644,CST,555-2939,30,True
OFF86002279,Office 13,Regional,477 Main St,Miami,IL,75460,29.278105,-82.278395,CST,555-6525,59,True
OFF47219438,Office 14,Branch,720 Main St,Seattle,TX,75925,28.576466,-100.311243,EST,555-2758,110,True
OFF42668872,Office 15,Regional,887 Main St,San Jose,NY,75014,43.175351,-68.09332,EST,555-1417,52,True
OFF66353889,Office 16,Regional,624 Main St,Chicago,WA,77409,47.745469,-83.893694,EST,555-8918,108,True
OFF88286965,Office 17,HQ,246 Main St,Dallas,NY,76249,32.387768,-76.472392,CST,555-2631,74,True
OFF44855751,Office 18,HQ,527 Main St,Seattle,IL,78954,29.726275,-104.280728,EST,555-3061,115,False
OFF15382012,Office 19,Regional,353 Main St,Dallas,WA,75235,46.810966,-95.468431,CST,555-2987,42,False
OFF60438097,Office 20,Branch,263 Main St,Boston,MA,78127,29.242882,-99.768731,EST,555-7163,67,True
OFF13043330,Office 21,Regional,298 Main St,Chicago,NY,78057,35.375826,-95.289915,CST,555-3065,104,False
OFF60547511,Office 22,Regional,504 Main St,Austin,MA,77329,40.399884,-86.262025,CST,555-3734,110,True
OFF06243111,Office 23,HQ,435 Main St,Dallas,TX,75279,46.445498,-73.167605,EST,555-3520,13,True
OFF93224236,Office 24,Regional,821 Main St,Miami,IL,79766,34.916572,-109.416134,EST,555-6244,103,False
OFF72610795,Office 25,HQ,215 Main St,Miami,TX,76769,38.221356,-104.682849,PST,555-9733,146,False
OFF98381787,Office 26,HQ,314 Main St,Miami,NY,76454,35.041648,-68.667816,PST,555-5516,101,True
OFF68454814,Office 27,HQ,393 Main St,San Jose,NY,77713,40.188849,-72.57304,PST,555-2838,117,False
OFF34509213,Office 28,Regional,319 Main St,San Jose,FL,78825,27.064565,-85.661986,CST,555-6732,70,False
OFF06877986,Office 29,Regional,646 Main St,Seattle,MA,76266,31.058224,-117.463551,PST,555-7696,104,False
OFF55818519,Office 30,HQ,524 Main St,San Jose,FL,78735,41.407262,-113.871886,EST,555-1458,25,True
OFF44647413,Office 31,HQ,340 Main St,Austin,TX,76718,38.167342,-111.405602,CST,555-7533,138,True
OFF04020124,Office 32,Regional,776 Main St,San Jose,TX,75380,35.622699,-84.868567,EST,555-8917,14,True
OFF86408296,Office 33,Branch,572 Main St,San Jose,TX,77276,43.32927,-110.125904,EST,555-2416,136,True
OFF10865940,Office 34,HQ,694 Main St,Austin,FL,75509,30.283073,-99.578236,PST,555-2898,113,True
