policy_id,policy_number,policyholder_id,asset_id,policy_type,coverage_amount,deductible,premium_annual,effective_date,expiration_date,status,underwriter
POL82218396,P99090378,PH14233021,AST12328771,Home,892312.41,6873.18,4756.77,2023-07-17,2020-03-06,Cancelled,UW-Team
POL74367325,P92039607,PH23684088,AST64071416,Home,694585.62,3270.93,6925.55,2020-07-25,2025-01-13,Cancelled,UW-Team
POL36288492,P63676702,PH03280682,AST44278447,Life,78823.9,7760.21,4903.03,2025-07-28,2024-03-11,Pending,UW-Team
POL82907302,P90564474,PH12786951,AST28277852,Home,567764.48,9806.65,10952.29,2024-11-17,2020-12-13,Closed,UW-Team
POL30421375,P01620069,PH99924240,AST44367801,Commercial,464916.0,7269.36,5842.58,2019-06-02,2022-04-09,Cancelled,UW-Team
POL84624007,P78019738,PH08434679,AST37766530,Commercial,801567.02,860.75,4385.35,2021-10-28,2023-11-16,Pending,UW-Team
POL32475782,P70829399,PH82914703,AST21205581,Auto,400973.76,945.32,10264.83,2023-11-02,2025-07-14,Cancelled,UW-Team
POL56387299,P87841942,PH97083719,AST21302882,Commercial,519044.35,4676.65,10807.68,2023-09-19,2022-05-13,Pending,UW-Team
POL66393315,P29177135,PH60934103,AST62633779,Home,914026.3,9040.99,7967.88,2020-05-15,2021-04-19,Pending,UW-Team
POL55877953,P83597889,PH61393835,AST13466840,Home,556417.45,9279.39,3937.72,2019-06-26,2023-09-30,Closed,UW-Team
POL39917440,P41582602,PH36296030,AST64718557,Commercial,561626.71,5571.55,1347.95,2023-09-21,2025-02-19,Closed,UW-Team
POL12807436,P41004424,PH39965784,AST23993675,Life,100733.4,9504.92,10432.63,2024-09-26,2025-06-01,Pending,UW-Team
POL63100830,P21098585,PH70487193,AST87831370,Life,926520.08,8110.46,13366.64,2021-01-22,2021-02-12,Cancelled,UW-Team
POL29861519,P33189407,PH33158935,AST23422191,Auto,817311.51,518.75,6877.16,2022-05-19,2021-06-17,Active,UW-Team
POL69587954,P10296757,PH19404728,AST87533415,Commercial,362998.21,2963.29,8765.95,2021-05-01,2022-12-15,Cancelled,UW-Team
POL70975693,P57361793,PH41392385,AST92649235,Auto,438059.8,2947.46,8573.02,2020-12-24,2025-09-12,Cancelled,UW-Team
POL56994865,P28522522,PH04481750,AST54536256,Life,126690.62,7759.12,8379.17,2018-07-11,2018-08-24,Pending,UW-Team
POL41738278,P09593639,PH92962056,AST80327266,Auto,134801.0,8777.54,11351.04,2021-11-20,2025-03-19,Pending,UW-Team
POL17266525,P11730661,PH10980423,AST81015939,Home,52996.53,3607.22,9388.5,2025-03-13,2021-03-07,Active,UW-Team
POL25979647,P24528730,PH14151600,AST03271418,Commercial,201591.0,8225.97,10409.84,2024-12-24,2019-05-20,Closed,UW-Team
POL02127800,P50585706,PH63687504,AST78616603,Commercial,657899.94,5059.91,11009.27,2019-12-18,2023-07-07,Pending,UW-Team
POL45451286,P90961277,PH69070216,AST46439741,Commercial,995303.13,1929.47,14908.3,2023-05-11,2024-05-02,Pending,UW-Team
POL48573829,P89957595,PH98548344,AST40892315,Home,310668.89,7261.67,9216.33,2020-12-20,2021-10-30,Cancelled,UW-Team
POL06798746,P09291876,PH91733438,AST80742233,Auto,663629.63,6257.93,8300.37,2023-02-14,2019-04-03,Active,UW-Team
POL03739553,P75600139,PH89703791,AST52581683,Auto,695487.2,7268.9,4021.68,2019-03-28,2023-05-12,Pending,UW-Team
POL21612539,P18333585,PH35759411,AST86503294,Commercial,946017.21,6313.81,5043.14,2022-11-30,2023-01-12,Pending,UW-Team
POL63084584,P33359046,PH28350096,AST10515865,Commercial,368734.81,1130.53,2734.19,2020-10-10,2019-03-16,Pending,UW-Team
POL03478675,P33747793,PH68078196,AST53270272,Home,115669.16,6339.41,2533.45,2025-01-15,2022-08-11,Active,UW-Team
POL39531817,P00406289,PH11865295,AST53387831,Life,363464.33,2466.28,1690.61,2024-10-29,2025-05-12,Cancelled,UW-Team
POL69655386,P61921696,PH60468875,AST31570737,Commercial,181900.57,3568.21,6741.7,2019-04-13,2020-04-27,Active,UW-Team
POL79089658,P91517643,PH39882523,AST06037632,Commercial,776903.07,9030.9,6973.91,2023-05-25,2022-11-01,Pending,UW-Team
POL98453860,P18218267,PH60536920,AST13278453,Life,614324.45,2170.27,5514.97,2019-11-17,2019-04-02,Active,UW-Team
POL41149213,P99067037,PH71902523,AST73349773,Life,108384.57,6650.96,10144.4,2023-05-27,2019-08-02,Cancelled,UW-Team
POL87395166,P12520323,PH95452869,AST53503412,Auto,696697.45,3665.59,8752.53,2019-09-16,2025-10-01,Active,UW-Team
POL23218237,P15000135,PH27166298,AST79918213,Auto,383102.56,4445.65,4261.29,2018-02-23,2018-06-24,Closed,UW-Team
POL95908885,P77272745,PH74673077,AST62477283,Home,237177.27,3685.69,12740.46,2018-07-20,2023-09-18,Cancelled,UW-Team
POL54542793,P09019436,PH30371128,AST64863405,Life,880551.5,2710.69,2880.64,2020-05-13,2025-02-18,Pending,UW-Team
POL80750101,P41834067,PH61331041,AST73948200,Life,343269.71,8500.41,11389.51,2024-01-31,2019-05-05,Pending,UW-Team
POL96197489,P90267583,PH32455081,AST09713280,Commercial,795228.18,8045.86,13829.52,2023-11-06,2019-10-29,Active,UW-Team
POL69457858,P09291947,PH08380387,AST21652162,Commercial,668225.49,9496.54,12306.15,2023-09-30,2025-08-26,Pending,UW-Team
POL90562387,P03300137,PH58443826,AST61581574,Auto,995920.41,2388.14,9089.78,2023-06-28,2020-02-11,Closed,UW-Team
POL51782625,P29927148,PH69864868,AST54950964,Home,427322.84,843.28,7984.0,2019-07-30,2022-04-12,Active,UW-Team
POL18742151,P29511627,PH41626017,AST12776220,Home,602855.29,2149.15,9972.03,2021-07-28,2019-05-01,Cancelled,UW-Team
POL26536770,P51024844,PH78687360,AST09515699,Life,848394.01,2820.61,2808.81,2024-08-02,2018-06-14,Closed,UW-Team
POL76509873,P67213331,PH63313660,AST38507294,Life,198117.07,8835.93,2547.13,2018-07-26,2021-01-03,Pending,UW-Team
POL74055458,P48294680,PH20659325,AST55398213,Life,460776.53,570.18,8371.81,2022-10-20,2024-03-15,Pending,UW-Team
POL99326350,P97146863,PH21748018,AST93555630,Auto,87641.43,2851.29,9845.51,2022-11-20,2018-05-12,Closed,UW-Team
POL96325694,P54583077,PH43428460,AST59191581,Commercial,124869.03,3452.2,6927.63,2025-08-08,2021-06-27,Active,UW-Team
POL36492503,P19300050,PH60188193,AST79693611,Commercial,382790.38,9529.69,1729.41,2022-11-20,2019-04-17,Active,UW-Team
POL49156430,P79671925,PH54562962,AST59793251,Life,64786.18,3690.71,668.19,2020-10-04,2024-01-03,Active,UW-Team
POL55528914,P09465718,PH94687417,AST39106925,Home,429751.56,1729.12,14214.37,2021-10-19,2020-12-05,Cancelled,UW-Team
POL35786583,P02012081,PH14489417,AST82150293,Commercial,439162.12,9573.1,13324.54,2019-08-08,2022-05-28,Closed,UW-Team
POL50580227,P00528797,PH11632693,AST98760694,Home,169236.23,8633.61,12397.58,2018-05-04,2023-05-15,Active,UW-Team
POL83875841,P60408243,PH51647840,AST99758226,Auto,200275.25,3123.03,9460.35,2024-08-29,2025-08-24,Active,UW-Team
POL18141578,P24694139,PH47776579,AST81684098,Life,644589.14,8389.09,2198.19,2021-04-05,2021-10-26,Pending,UW-Team
POL71530080,P10536610,PH39049676,AST05310856,Commercial,400769.22,1551.24,10722.15,2021-07-29,2022-11-12,Active,UW-Team
POL83633328,P69045100,PH78585895,AST58011202,Commercial,599471.8,3520.73,8967.37,2018-11-04,2018-07-28,Active,UW-Team
POL34069457,P43670423,PH76390942,AST47978532,Auto,974978.01,2547.33,13485.02,2024-11-03,2019-06-17,Pending,UW-Team
POL67648030,P19986871,PH92645304,AST60835634,Auto,605081.74,5799.37,3163.2,2023-07-20,2024-11-26,Closed,UW-Team
POL20441482,P92355263,PH45273680,AST23998016,Home,124637.49,8957.32,13355.64,2020-11-15,2020-07-21,Cancelled,UW-Team
POL38646107,P73666899,PH04947400,AST55258824,Auto,768154.68,5870.5,4510.21,2024-10-06,2024-06-10,Closed,UW-Team
POL57166793,P55048403,PH30132945,AST12008022,Auto,906080.76,4321.19,7704.74,2020-10-15,2025-12-14,Closed,UW-Team
POL85175575,P97064928,PH76936720,AST70369741,Life,976962.49,6736.83,8806.99,2025-10-14,2018-04-13,Active,UW-Team
POL34436706,P83906540,PH83951816,AST16570009,Life,90304.8,3620.37,4591.19,2020-03-13,2023-04-29,Closed,UW-Team
POL82421499,P12937429,PH89484125,AST22661330,Home,489743.19,6268.37,3858.67,2023-03-03,2022-10-10,Closed,UW-Team
POL09787936,P25289766,PH46227509,AST85104300,Commercial,91433.54,4686.31,3065.03,2025-09-18,2020-10-07,Pending,UW-Team
POL43142940,P42964581,PH77979897,AST27446878,Commercial,763181.96,1160.5,9542.23,2019-04-16,2022-05-21,Active,UW-Team
POL48969789,P77936527,PH04623269,AST77248266,Commercial,83951.93,5377.51,14988.4,2021-10-14,2021-11-25,Pending,UW-Team
POL49823895,P51974109,PH61512823,AST28769096,Home,863640.53,6994.14,10574.39,2023-08-11,2019-01-23,Cancelled,UW-Team
POL10528075,P30953726,PH74876758,AST32701878,Life,383052.51,5459.43,14747.5,2021-08-30,2020-12-09,Active,UW-Team
POL03178271,P45160279,PH24282483,AST52286969,Life,542025.04,9478.76,11049.13,2025-07-25,2023-08-30,Active,UW-Team
POL29942263,P33799235,PH31793873,AST92095016,Life,938148.28,7848.35,10092.51,2023-09-29,2019-03-06,Pending,UW-Team
POL11181495,P95144398,PH64984083,AST09224726,Auto,67467.0,2020.16,1782.33,2024-02-21,2023-06-09,Closed,UW-Team
POL93364050,P56272473,PH35217219,AST05591724,Auto,469306.02,2169.81,4008.22,2025-07-16,2023-02-04,Cancelled,UW-Team
POL59979309,P84515654,PH95777168,AST03984539,Life,735672.19,2749.1,14620.85,2023-06-11,2020-01-03,Closed,UW-Team
POL18265046,P72829636,PH34070744,AST96932525,Life,618231.66,6174.69,5359.36,2022-03-07,2022-08-19,Cancelled,UW-Team
POL29972874,P36130064,PH02156902,AST23955630,Commercial,474300.71,555.95,3548.73,2023-11-23,2022-01-17,Cancelled,UW-Team
POL48097798,P18086812,PH91308368,AST66639528,Home,553684.93,2545.57,1991.17,2018-02-03,2021-01-18,Closed,UW-Team
POL89534073,P52747824,PH64264461,AST86090480,Auto,680109.76,6856.91,9404.22,2024-09-30,2019-10-22,Cancelled,UW-Team
POL96534915,P80596388,PH61224384,AST88856708,Commercial,596302.54,1591.05,5000.67,2025-11-23,2025-08-29,Active,UW-Team
POL14067138,P80402859,PH03539330,AST19190752,Life,618554.95,8227.35,3249.63,2020-05-29,2025-02-22,Pending,UW-Team
POL93864389,P55516463,PH31895087,AST16969852,Auto,152107.26,2596.64,8981.73,2022-01-21,2018-05-11,Active,UW-Team
POL57815114,P78894172,PH26210525,AST10794573,Home,503979.8,1892.68,12153.7,2022-10-02,2021-01-11,Closed,UW-Team
POL68268083,P80867964,PH77634293,AST59109548,Auto,859594.56,7102.83,7391.84,2018-07-01,2020-12-27,Pending,UW-Team
